LGA code,LGA name (a),2022 (no.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20910,Bayside (Vic.),102241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010,Benalla,14463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21110,Boroondara,169632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21180,Brimbank,193392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21270,Buloke,6120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21370,Campaspe,38556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21450,Cardinia,123181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21610,Casey,379104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21670,Central Goldfields,13520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21750,Colac Otway,22198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21830,Corangamite,15999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21890,Darebin,150605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22110,East Gippsland,48939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22170,Frankston,141161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22250,Gannawarra,10534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22310,Glen Eira,151824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22410,Glenelg,20049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22490,Golden Plains,25321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22620,Greater Bendigo,122704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22670,Greater Dandenong,159294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22750,Greater Geelong,276601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22830,Greater Shepparton,68964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22910,Hepburn,16573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22980,Hindmarsh,5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23110,Hobsons Bay,91864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23190,Horsham,20348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23270,Hume,253182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23350,Indigo,17425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23430,Kingston (Vic.),160107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23670,Knox,159549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23810,Latrobe (Vic.),77705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23940,Loddon,7750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24130,Macedon Ranges,52202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24210,Manningham,126570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24250,Mansfield,10338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24330,Maribyrnong,87605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24410,Maroondah,115759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24600,Melbourne,160328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24650,Melton,193285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24700,Merri-bek,174886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24780,Mildura,57250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24850,Mitchell,51682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24900,Moira,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24970,Monash,195081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25060,Moonee Valley,123119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25150,Moorabool,38526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25340,Mornington Peninsula,169733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25430,Mount Alexander,20324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25490,Moyne,17478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25620,Murrindindi,15353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25710,Nillumbik,63066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25810,Northern Grampians,11879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25900,Port Phillip,104096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25990,Pyrenees,7653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26080,Queenscliffe,3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26170,South Gippsland,30708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26260,Southern Grampians,16401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350,Stonnington,106524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26430,Strathbogie,11515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26490,Surf Coast,38672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26610,Swan Hill,21239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26670,Towong,6198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26700,Wangaratta,29915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26730,Warrnambool,35576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26810,Wellington,45818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26890,West Wimmera,3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26980,Whitehorse,172607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27070,Whittlesea,237143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27170,Wodonga,43716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27260,Wyndham,309398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27350,Yarra,92392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27450,Yarra Ranges,157467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27630,Yarriambiack,6437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29399,Unincorporated Vic,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30250,Aurukun,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30300,Balonne,4352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30370,Banana,14778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30410,Barcaldine,2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30450,Barcoo,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30760,Blackall Tambo,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30900,Boulia,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31000,Brisbane,1283432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31750,Bulloo,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31820,Bundaberg,102070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31900,Burdekin,16868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31950,Burke,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32080,Cairns,171985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32250,Carpentaria,2170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32260,Cassowary Coast,29605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32270,Central Highlands (Qld),28530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32310,Charters Towers,11979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32330,Cherbourg,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32450,Cloncurry,3788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32500,Cook,4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32600,Croydon,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32750,Diamantina,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32770,Doomadgee,1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32810,Douglas,12662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33100,Etheridge,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33200,Flinders (Qld),1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33220,Fraser Coast,115069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33360,Gladstone,65302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33430,Gold Coast,647178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33610,Goondiwindi,10408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33620,Gympie,55108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33800,Hinchinbrook,11087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33830,Hope Vale,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33960,Ipswich,242640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33980,Isaac,22744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34420,Kowanyama,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34530,Livingstone,40901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34570,Lockhart River,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
