OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Persons who reported having private health insurance (no.) (Data year: 2022),Persons with disability (no.) (Data year: 2018),Persons with disability (%) (Data year: 2018),Persons with profound/severe core activity limitation (no.) (Data year: 2018),Persons with profound/severe core activity limitation (%) (Data year: 2018),Persons with moderate/mild core activity limitation (no.) (Data year: 2018),Persons with moderate/mild core activity limitation (%) (Data year: 2018),Persons who are carers (no.) (Data year: 2018),Persons who are carers (%) (Data year: 2018),Persons aged 15 years and over who are primary carers (no.) (Data year: 2018),Persons aged 15 years and over who are primary carers (%) (Data year: 2018),Persons who are non-primary carers (no.) (Data year: 2018),Persons who are non-primary carers (%) (Data year: 2018),"Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (no.) (Data year: 2018)","Persons with disability aged 15 years and over who need assistance or have difficulty with household chores, meal preparation or property maintenance (accommodation support) (%) (Data year: 2018)",Persons with disability who need assistance or have difficulty with personal/health care (no.) (Data year: 2018),Persons with disability who need assistance or have difficulty with personal/health care (%) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (no.) (Data year: 2018),Persons with disability aged 16 years and over who need assistance or have difficulty with private transport (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is fully met (%) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (no.) (Data year: 2018),Persons with disability aged 0-64 years whose need for assistance with core activities is partly met or not met at all (%) (Data year: 2018),Persons who have need for assistance with core activities (no.) (Data year: 2021),Persons who have need for assistance with core activities (%) (Data year: 2021),Persons with long-term health condition(s): Arthritis (%) (Data year: 2021),Persons with long-term health condition(s): Asthma (%) (Data year: 2021),Persons with long-term health condition(s): Cancer (including remission) (%) (Data year: 2021),Persons with long-term health condition(s): Dementia (including Alzheimer's) (%) (Data year: 2021),Persons with long-term health condition(s): Diabetes (excluding gestational diabetes) (%) (Data year: 2021),Persons with long-term health condition(s): Heart disease (including heart attack or angina) (%) (Data year: 2021),Persons with long-term health condition(s): Kidney disease (%) (Data year: 2021),Persons with long-term health condition(s): Lung condition (including COPD or emphysema) (%) (Data year: 2021),Persons with long-term health condition(s): Mental health condition (including depression or anxiety) (%) (Data year: 2021),Persons with long-term health condition(s): Stroke (%) (Data year: 2021),Persons with other long-term health condition(s) (%) (Data year: 2021),Persons with no long-term health condition(s) (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
106,17200,Sydney,26.6762,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17200,86678,19014,8,6523,2.7,8052,3.4,15479,6.5,3353,1.5,10072,4.2,10166,4.6,10692,4.5,7608,3.5,2660,1.2,1629,0.7,5812,2.7,3.9,6.5,1.9,0.3,2.2,2,0.5,0.9,8.5,0.4,6.9,67.2,9b08207e-bc5e-456c-b882-341b36ed3f5c,0.00259985102547944,0.41679090585804
107,17310,Tamworth Regional,9884.3505,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17310,20640,11970,19.6,3475,5.7,6355,10.4,6335,10.4,2491,5.2,3732,6.1,4733,9.8,5727,9.4,3544,7.5,1369,2.7,619,1.2,4204,6.7,10.6,11.2,3.4,0.9,5.3,4.8,1.3,2.3,10.7,1.2,8.2,53,ab28820c-b6ce-4921-8732-6ce1aa5b5a94,0.932488899527016,7.7252904359914
108,17350,Temora,2802.0159,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17350,2333,1218,19.8,358,5.8,803,13,629,10.2,262,5.3,422,6.9,505,10.2,650,10.6,279,5.8,140,3,37,0.8,447,7.4,13.1,11.3,3.8,0.9,6.1,5.1,1.3,2.6,9.2,1.5,8.6,53.8,bde40985-5613-409f-a5ff-2a62bd187e63,0.274671137039604,3.03741739826296
109,17400,Tenterfield,7324.3072,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17400,2045,1932,29.6,513,7.9,1063,16.3,1085,16.6,412,7.5,672,10.3,763,13.9,1299,19.9,351,6.5,224,4.7,64,1.4,552,8.1,16.1,9.3,4.6,1,6.7,6.6,1.7,3.5,10.8,1.6,8.9,48.1,3df53f91-9ac9-40f8-8b82-cbc4a3638eef,0.677841796371922,6.59346566231398
110,17420,The Hills Shire,386.1583,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17420,95204,17529,10.2,5656,3.3,9248,5.4,15688,9.2,4369,3.2,12598,7.3,6536,4.9,9797,5.7,4195,3.2,2309,1.6,1107,0.7,7108,3.7,5.9,6.2,2.4,0.5,4.3,3.2,0.6,0.9,5,0.6,7,69.2,2d53b910-0e5e-4f0f-bde5-feb56e4d050b,0.0375057947030655,1.43997381429625
111,17550,Tweed,1307.7853,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17550,29621,21362,22.6,6219,6.6,11424,12.1,10673,11.3,4544,5.8,5988,6.3,8009,10.3,11058,11.7,5333,6.9,2249,3.1,758,1.1,7241,7.4,11.9,8.2,4.1,1.2,4.3,5.4,1.3,2.9,9.5,1.3,8.4,54.2,a3fed712-7b47-4807-8d34-720465fdb150,0.120371840908774,2.45937090143941
112,17620,Upper Hunter Shire,8096.0889,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17620,5284,2915,20.7,807,5.7,1648,11.7,1836,13.1,530,4.8,1190,8.5,920,8.3,1241,8.8,633,5.8,317,2.7,132,1.1,827,5.8,10.3,9.9,3.2,0.9,5.4,4.7,0.9,2.2,8.2,1.1,7.3,57,d0c81616-1c1b-4353-9ae4-dd8c52d11977,0.77242143586227,7.33841575567228
113,17640,Upper Lachlan Shire,7127.3957,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17640,3252,1502,19,422,5.3,893,11.3,1068,13.5,338,5.2,590,7.5,660,10.2,734,9.3,418,6.5,180,2.9,53,0.9,507,6,14.3,9.3,3.9,1,5.8,5.5,1.2,2.8,8.7,1.1,8.4,50.9,62a7ccf9-c1d0-4d7b-b990-0c1e2031a40b,0.698920654133417,7.51696367681397
114,17650,Uralla,3226.5327,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17650,2059,1449,23.9,377,6.2,755,12.4,995,16.4,275,5.6,703,11.6,505,10.3,705,11.6,274,5.7,149,3.1,58,1.2,402,6.7,13,10.3,4.4,0.7,5.8,5.5,1,2.7,10.4,1,8.9,52.4,96273259-e0f5-4109-869c-04ec403f27d6,0.303198636636353,4.08540459235097
115,17750,Wagga Wagga,4824.4888,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17750,23933,11173,17.4,3389,5.3,6084,9.5,7223,11.3,2314,4.6,4380,6.8,4267,8.4,5372,8.4,2929,5.9,1498,2.7,539,1,3998,5.9,9.1,11.1,3.1,0.8,4.6,3.8,1.2,2.2,10.3,1,7.7,56.9,dec5de23-e0f5-4df1-837c-959dff8d0849,0.477504288538967,4.6142249966065
116,17850,Walcha,6261.0243,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17850,1225,501,16.4,150,4.9,348,11.4,331,10.8,126,5,250,8.2,197,7.9,283,9.3,119,4.8,65,2.9,17,0.7,161,5.3,13.3,9,4.4,0.9,5.4,6.2,1,3,6.3,1.2,6.1,53.4,d7270a17-28f7-4a6f-8975-b9cf687dcc35,0.592307578580858,5.18755358954312
117,17900,Walgett,22308.2528,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17900,1393,,,,,,,,,,,,,,,,,,,,,,,318,6.1,10,7.6,2.7,0.5,5.9,4.9,0.9,3.3,6.5,1,5.8,43.2,fd560ec0-e99e-4f59-8d24-55219726a753,2.08200890322541,9.79976671275809
118,17950,Warren,10753.7672,https://linked.data.gov.au/dataset/asgsed3/LGA2021/17950,976,443,16.8,176,6.7,286,10.8,363,13.7,99,4.8,228,8.6,187,9.1,256,9.7,112,5.5,70,3.3,27,1.3,129,5.1,10.8,10.2,3,1,4.7,5.6,0.9,2.3,6.2,1.2,5.9,53.6,7ab83c54-d212-4eb6-af4a-ce5e2ad773f7,1.01906488201803,7.78689282737222
119,18020,Warrumbungle Shire,12372.12,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18020,2525,2240,24.1,730,7.9,1373,14.8,1677,18.1,466,6.2,1147,12.3,1181,15.7,1462,15.7,486,6.6,263,3.8,98,1.4,712,7.7,14,10,4.1,1,5.9,6.2,1.6,3.3,8.3,1.2,7.7,46.5,3327ddfa-0e66-406f-8775-be8fd3370547,1.17410404917291,8.24068221602869
120,18050,Waverley,9.3506,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18050,33655,6410,8.8,2190,3,2637,3.6,5579,7.6,1268,2.1,3469,4.7,2890,4.7,3521,4.8,2263,3.7,848,1.3,504,0.8,1951,2.8,4.8,6,2.3,0.7,2.2,2.5,0.6,0.8,5.8,0.5,5.9,69.4,99d6ab5e-d56b-443f-a828-86144d4e9cc1,0.00091131991621296,0.199179616931171
121,18100,Weddin,3414.8566,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18100,1260,885,24.5,229,6.4,522,14.5,470,13,174,5.8,304,8.4,358,12,490,13.6,191,6.5,93,3.6,21,0.8,281,7.8,15.1,11.1,4.3,1.1,6.3,6.5,1.6,4.2,10.1,1.7,8.2,49.9,3a1d80e0-299c-4241-bc5c-108677afc1ef,0.332745745000011,4.17107633320446
122,18200,Wentworth,26255.9338,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18200,2491,1587,22.8,446,6.4,951,13.7,1010,14.5,318,5.7,648,9.3,645,11.7,747,10.7,372,6.8,187,3.4,68,1.2,413,5.5,9.4,9.3,3.2,0.8,5,4.9,1.4,2.5,8.5,1.1,6.9,53.8,ff782a59-bc95-46aa-a80b-3f913aef646f,2.54964667182185,11.2720742239068
123,18250,Willoughby,22.4257,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18250,37879,7617,9.6,2387,3,3547,4.5,5132,6.5,1591,2.5,3866,4.9,2974,4.7,3799,4.8,2022,3.2,848,1.2,525,0.8,2957,3.9,5.2,6,2.6,0.7,3.2,3,0.6,0.9,5.3,0.6,7.2,70,3c02b6d1-5610-4227-b9a2-fda12dfdda06,0.00218348438056637,0.351358303976603
124,18350,Wingecarribee,2689.3415,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18350,21075,9912,20.1,2385,4.8,5613,11.4,5298,10.8,1871,4.6,4031,8.2,3884,9.6,4592,9.3,2368,6,920,2.5,305,0.8,2940,5.6,12.3,8.2,4.2,0.8,4.9,4.9,1,2.2,8.7,1.1,8.3,56,62feb43d-eaa5-4b13-bb59-813374e7fa75,0.263902869038247,3.36732535186334
125,18400,Wollondilly,2555.4341,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18400,20055,8341,16.1,2596,5,4044,7.8,7972,15.4,1724,4.3,6307,12.2,3646,9.1,4599,8.9,2109,5.3,1166,2.6,472,1,2564,4.8,9.5,8.7,2.9,0.4,4.4,3.9,0.8,1.7,8.2,0.8,7.6,60,52c85323-4623-4593-959f-581167b5512d,0.249664527098957,3.85033216052217
126,18450,Wollongong,684.3076,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18450,75658,36682,17.2,12523,5.9,19182,9,23369,10.9,8424,4.8,13969,6.5,15462,8.9,20493,9.6,10095,5.9,4639,2.6,1862,1,14458,6.7,10.1,8.6,3.2,1,5.1,4.1,1.2,2.1,10.1,1.1,8.8,57.9,48718718-65ab-43ea-9e2d-9c73438d0555,0.0670651889713554,2.15330908016642
127,18500,Woollahra,12.2584,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18500,30737,6083,10.5,1770,3.1,2334,4,5377,9.3,1214,2.5,3413,5.9,2611,5.3,2726,4.7,1835,3.8,628,1.3,359,0.8,1552,2.9,6.1,6.2,3.2,0.7,2.5,3.6,0.6,1,5.5,0.7,6.3,66.8,287ff663-9a7b-4609-8136-614fbe38edc1,0.00119428751986561,0.299721154378194
128,18710,Yass Valley,3995.017,https://linked.data.gov.au/dataset/asgsed3/LGA2021/18710,7942,3283,19.7,735,4.4,1574,9.4,1976,11.9,579,4.4,1300,7.8,1178,9,1577,9.5,581,4.5,375,2.7,147,1,926,5.4,11.2,9.6,3.5,0.7,4.3,4.4,1,1.9,10,1,9.2,56.1,74567803-3128-41ae-9817-b66dd743e18e,0.394254371999978,3.98512885103632
129,19399,Unincorporated NSW,93208.9194,https://linked.data.gov.au/dataset/asgsed3/LGA2021/19399,296,,,,,,,,,,,,,,,,,,,,,,,19,1.9,5.8,7.7,3,,2.9,3.7,0.8,0.7,5.2,,4.7,64.1,46fa089d-2462-408e-973f-d73b5cb7ff2d,8.77370599549431,19.3689593921036
130,19499,No usual address (NSW),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/19499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347afdb3-db79-4020-8d56-b56f9333be56,,
131,19799,Migratory - Offshore - Shipping (NSW),,https://linked.data.gov.au/dataset/asgsed3/LGA2021/19799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d67f85e-83c8-4611-9117-b08780dbb2cc,,
132,20110,Alpine,4788.157,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20110,3825,2756,21.8,744,5.9,1612,12.7,1459,11.5,552,5.2,950,7.5,1086,10.3,1741,13.8,625,6,271,2.8,83,0.9,720,5.4,10.7,7.6,3.7,0.9,4.2,5.2,1.3,2,8.8,1.2,7.6,57,ec9452e1-eb34-4f4a-b8fb-e07ba73f9cba,0.483800791783779,4.53221033497804
133,20260,Ararat,4211.1172,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20260,2212,2606,23.9,694,6.4,1507,13.8,1519,13.9,517,5.8,1151,10.6,952,10.6,1317,12.1,623,7,274,3.3,85,1,922,7.8,12.1,9.9,3.7,1,5.6,5.4,0.9,2.7,10.8,1.2,8.4,48.1,4be9a9aa-a81e-4666-8e18-8cf42c789c44,0.428937463538205,3.9777569855002
134,20570,Ballarat,739.0321,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20570,33822,22097,20.8,6214,5.9,11377,10.7,13862,13.1,4578,5.4,9735,9.2,10892,12.8,12959,12.2,6107,7.3,2711,3.1,994,1.1,8382,7.4,10.5,11.4,3.4,0.8,5.2,4.7,0.9,2.4,13.1,1.2,9.6,53.1,30bbb1d1-0a46-454d-9484-bdb9119ff707,0.0752963777445075,1.65178094222302
135,20660,Banyule,62.5402,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20660,51996,22146,17.1,6650,5.1,10637,8.2,16513,12.8,4688,4.5,11704,9,8672,8.3,11830,9.1,5187,5,2302,2.1,916,0.8,7419,5.9,8.7,8.4,3.1,0.9,4.2,3.9,0.9,1.4,9.2,1,9,60.8,0eace6cf-3320-48f7-821a-7ef74fdc13a4,0.00639216971921996,0.582851774550009
136,20740,Bass Coast,865.8094,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20740,9908,9249,26.4,2419,6.9,4647,13.3,4965,14.2,1770,6.1,2911,8.3,4655,16,4613,13.2,2204,7.7,871,3.4,197,0.8,2901,7.1,13.5,9.4,4.5,0.9,6,6.4,1.1,3,10.7,1.6,9.1,51.2,c0b163c2-d6d8-4030-acdf-1d4680ca01cd,0.0894208955496651,2.90807978293273
137,20830,Baw Baw,4027.6287,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20830,14524,11298,21.9,2881,5.6,5292,10.2,6059,11.7,2140,5.2,4067,7.9,4280,10.3,5658,10.9,2433,6,1169,2.8,376,0.9,3775,6.6,11.2,9.7,3.6,0.8,5.2,5,1.1,2.5,11.1,1.2,9.1,54.2,7a1d9de9-15e0-457e-a580-d703de9596e9,0.413041545938995,4.35965635463207
138,20910,Bayside (Vic.),37.2111,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20910,54616,13926,13.3,4389,4.2,7018,6.7,12026,11.5,3101,3.7,8270,7.9,5492,6.5,7429,7.1,3843,4.6,1515,1.8,662,0.8,4734,4.7,7.8,7.5,3.8,1,3,4.1,0.8,1.3,7,0.8,7.7,63.5,9ed29256-54ca-402a-8abe-244e5be0cafb,0.00381385523405697,0.329052267896934
139,21010,Benalla,2352.6398,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21010,2921,3493,25.1,900,6.5,1850,13.3,1852,13.3,693,6,1225,8.8,1537,13.2,2053,14.7,863,7.5,380,3.7,92,0.9,1136,7.8,13.6,10.9,4.1,1.2,6.7,6.5,1.7,3.6,11.3,1.7,8.8,48,562b2e2d-aa38-41cd-ad08-1249c55b178f,0.23690502128693,2.81937610282307
140,21110,Boroondara,60.1776,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21110,88712,18899,10.5,6723,3.7,9071,5.1,17152,9.6,4750,3.2,12971,7.2,8932,6,10254,5.7,5014,3.4,2438,1.6,1201,0.8,7516,4.5,6.6,7.4,3.1,0.9,3.1,3.5,0.7,0.9,7.1,0.7,7.9,65.5,325c1502-d588-435c-b24a-e5f3d48df6ae,0.00615776562653991,0.481249917211949
141,21180,Brimbank,123.3991,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21180,38475,36927,17.7,12658,6.1,17714,8.5,26972,13,8289,4.9,17890,8.6,16153,9.5,20263,9.7,9171,5.5,4860,2.7,1897,1.1,14975,7.7,7,7.3,2.1,0.8,6.4,3.4,1,1.1,6.3,1,7.6,63,afba05d7-5211-4532-88a2-9b0e0bdc87b6,0.0126148027711679,0.695486439714601
142,21270,Buloke,7998.247,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21270,1916,1296,21.3,396,6.5,880,14.5,970,15.9,307,6.1,576,9.5,617,12.2,852,14,320,6.4,172,3.8,34,0.8,517,8.4,14,10.1,4.5,1.1,7.2,6.1,1.4,3,9.5,1.4,7.9,50.2,4fdd1652-9cd1-4a1f-9f1e-b909b7eaf827,0.798610322114655,5.49130419450807
143,21370,Campaspe,4519.073,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21370,9164,8277,22.3,2412,6.5,4742,12.8,5663,15.2,1770,5.9,3419,9.2,3486,11.5,4366,11.8,2190,7.4,909,3.1,303,1,2864,7.4,12.8,9.7,3.8,0.9,5.8,5.4,1.4,2.5,10.1,1.3,8.2,52.7,9f8f07f1-28a6-4568-9970-df9931efb0ac,0.453666799096027,5.40826774813783
144,21450,Cardinia,1282.5671,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21450,30975,17517,16.4,5297,4.9,8234,7.7,12682,11.8,3700,4.5,8340,7.8,6934,8.4,9795,9.1,4096,5.1,2691,2.8,1019,1.1,5730,4.8,7.5,9.4,2.4,0.5,4.4,3.2,0.8,1.5,9.3,0.8,7.5,61.1,240964cc-3fc5-4157-b883-04c0e78ed043,0.131704411857299,2.12660564253828
145,21610,Casey,409.4287,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21610,84984,47834,14.1,15713,4.6,22804,6.7,35471,10.4,11079,4.2,23707,7,20950,8,27378,8.1,10945,4.3,7429,2.4,3172,1,18994,5.2,6,7.7,1.9,0.5,5.2,3,0.8,1.1,7,0.7,7,65.8,20856112-5feb-44ac-baf5-9dfe8ed6aa44,0.0420556564045,1.21242610692484
146,21670,Central Goldfields,1532.7843,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21670,1954,3846,29.4,1333,10.2,2126,16.2,2130,16.3,791,7.2,1391,10.6,1914,17.5,2177,16.6,1165,10.8,566,5.9,152,1.6,1396,10.4,16.6,10.7,4.6,1.2,7.6,7,1.1,4.6,13.9,1.8,10.3,44.7,54561617-72be-41b8-b936-fb4676d1390d,0.155181575290044,2.52517193315252
147,21750,Colac Otway,3437.47,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21750,5609,5057,23.8,1227,5.8,2661,12.5,2544,12,933,5.4,1627,7.7,1655,9.5,2677,12.6,1142,6.7,510,3,163,1,1531,6.8,10.8,8.4,3.4,0.9,5,4.7,1.1,2.2,9.1,1.3,7.5,56.1,c774cfb5-16d7-4f5b-ae5d-1a11abf467b1,0.354757302847702,3.99196328763446
148,21830,Corangamite,4407.492,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21830,4009,3286,20.7,848,5.3,1919,12.1,2019,12.7,704,5.4,1223,7.7,1181,9.1,1743,11,793,6.2,394,3.2,108,0.9,1110,6.9,10.7,9.5,3.7,0.7,5.7,5.3,1.1,2.6,9.6,1.3,7.6,54.7,3d98459d-5c02-4fc6-8f39-d409e313b7a8,0.453341920019739,5.72787365256498
149,21890,Darebin,53.4712,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21890,49027,28928,18,9035,5.6,12578,7.8,19324,12,5789,4.3,12803,8,12007,8.9,16715,10.4,7674,5.7,2956,2.1,1300,0.9,9855,6.6,7.2,8.5,2.3,0.8,4.3,3.1,0.8,1.1,11,0.8,8.7,60.9,86bdb818-eae4-43c1-8395-b6a2559a0fb0,0.00546522505101166,0.463812951558348
150,22110,East Gippsland,20939.5016,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22110,8933,10326,22.2,2814,6.1,7000,15.1,6455,13.9,2380,6.1,4364,9.4,4421,11.4,5140,11.1,2199,5.7,1077,3.2,345,1,3755,7.7,13.6,9.2,4.5,0.7,5.7,6.4,1.1,3.5,10.5,1.5,8.9,50.3,86aba0bb-6d48-420e-a3ae-4ebeaabc4b3b,2.13024946255291,9.19356160239745
151,22170,Frankston,129.5981,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22170,39371,27480,19.5,7194,5.1,13648,9.7,16782,11.9,5453,4.8,10523,7.4,9767,8.6,13464,9.5,5993,5.3,3118,2.6,1234,1,9014,6.5,9.3,10.3,3.1,0.8,5.1,4.2,1.1,2.1,11.6,1.1,8.9,55.9,9e10654d-8e4c-4ce6-a7c0-5e886789a8a7,0.0133174754173524,0.505340316866683
152,22250,Gannawarra,3737.5979,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22250,2550,2488,23.8,648,6.2,1605,15.4,1877,18,493,5.7,1400,13.4,1102,12.7,1599,15.3,555,6.5,247,3.2,66,0.9,788,7.4,14.4,10.9,4.5,1.2,7.1,6,1.2,2.9,9.4,1.5,7.2,50.1,a31e0134-5551-41ae-80b5-bf37f67eab46,0.372444060960333,4.28281904556087
153,22310,Glen Eira,38.6908,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22310,69163,18811,12.3,6082,4,8926,5.8,14260,9.3,4171,3.3,10240,6.7,8215,6.6,10153,6.7,5095,4.1,1897,1.4,1164,0.9,7161,4.8,6.3,7.1,2.7,0.7,3.8,3.4,0.8,1,7.8,0.7,8,65.5,245d5d27-3955-4ffa-901a-536a5f410e3f,0.00396346928482672,0.292677639026848
154,22410,Glenelg,6218.7884,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22410,4379,4941,25.5,1227,6.3,2806,14.5,2677,13.8,911,5.6,1711,8.8,1721,10.6,2849,14.7,931,5.8,510,3.4,164,1.1,1566,7.8,14.2,8.9,3.9,1,6.2,5.2,1.2,2.8,10.4,1.5,9,51.7,3b022bf5-917b-4d4f-8c8e-bb355380d1b0,0.636786136023602,4.79503760053437
155,22490,Golden Plains,2703.3899,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22490,8049,4284,18.5,1174,5.1,2219,9.6,3578,15.5,935,5.2,2431,10.5,1650,9.2,2513,10.9,1015,5.8,630,3.1,234,1.2,1334,5.3,8.9,10.4,2.9,0.6,4.2,3.7,0.9,1.8,9.8,0.7,8.1,58.1,68ac2933-936a-4c1d-b851-a2cfd9d41329,0.276860027572184,3.60041037713176
156,22620,Greater Bendigo,2999.9717,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22620,32647,24686,21.4,6971,6,12604,10.9,16573,14.4,5044,5.5,11768,10.2,12365,13.4,13358,11.6,6395,7,3137,3.3,1073,1.1,8639,7.1,11.7,10.6,3.5,0.8,5,4.7,1.1,2.1,12.6,1.1,9.2,52.8,e0f7bcae-a301-4a4e-be4b-96a8bec2c845,0.302658611926745,3.70065809733981
157,22670,Greater Dandenong,129.5466,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22670,27511,24775,15,8960,5.4,12305,7.5,16088,9.8,6242,4.6,10887,6.6,10774,8,13885,8.4,7106,5.4,3234,2.3,1430,1,11467,7.2,6.1,6.4,1.9,0.8,6.1,3.2,0.9,1.1,6,1,7.1,66.1,479b40cc-453d-4578-a221-f8b6fcb6f096,0.0132891593307249,0.523487094678233
158,22750,Greater Geelong,1247.9872,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22750,89878,54985,22.1,15028,6,26985,10.9,29984,12.1,10136,5,19351,7.8,20803,10.3,29116,11.7,12371,6.2,6093,3,2026,1,17726,6.5,9.3,9.8,3.2,0.9,4.9,4.4,1,1.9,11.1,1.1,8.8,56.5,d7d16917-b4e6-4b08-b0b5-dad57b39639f,0.128129574268769,3.15253037135391
159,22830,Greater Shepparton,2421.9092,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22830,15263,15891,24.4,4192,6.4,7664,11.7,8090,12.4,2965,5.7,4641,7.1,5213,10.1,9050,13.9,3581,7,1681,3.1,643,1.2,4932,7.2,11.1,9.8,3.3,0.8,5.5,4.8,1.2,2.1,10.1,1.1,8.5,54.5,fa7b0c75-0f93-4ca8-bfbd-4006a6afca63,0.243292100736198,3.10054891111034
160,22910,Hepburn,1472.9843,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22910,4457,3814,24.5,1048,6.7,2059,13.2,2074,13.3,791,6,1353,8.7,1824,13.9,2186,14,946,7.3,410,3.5,133,1.1,1050,6.3,12.3,9.6,4.3,1,5.2,5.8,1,3.2,11.1,1.4,9.8,50.2,a24b2f42-a8cc-4eae-b408-d2510943be71,0.149728904006679,2.80118021415044
161,22980,Hindmarsh,7524.1823,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22980,1353,1286,23.2,387,7,792,14.3,944,17,285,6.1,558,10.1,546,11.7,901,16.2,316,6.9,136,3.3,31,0.8,470,8.2,14.6,10.1,4.2,1,7.2,5.8,1,2.7,10.4,1.4,8.8,51.5,21713314-89cf-46ff-8986-04afffef1bcf,0.752586092681668,4.32909317006244
162,23110,Hobsons Bay,64.2405,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23110,31818,15020,15.7,5360,5.6,7099,7.4,10539,11,3358,4.3,7376,7.7,7311,9.4,8688,9.1,4221,5.5,1937,2.4,782,0.9,5812,6.4,7.5,8.2,2.6,0.8,4.8,3.6,1,1.3,8.4,0.9,7.8,61.7,4db625e7-ca02-451c-ad46-75b59ad891c7,0.00657662055755281,0.559519819361648
163,23190,Horsham,4266.769,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23190,5304,3934,19.9,1133,5.7,2451,12.4,2020,10.2,767,4.8,1526,7.7,1291,8.1,2139,10.8,845,5.4,454,2.8,152,1,1279,6.3,11.5,9.7,3.7,0.7,5.2,5.1,1,2.3,10.1,1.4,7.6,55.3,75ef5b3f-bdfc-4020-818d-5edafe86e355,0.430967376194985,4.56881126132374
164,23270,Hume,503.8488,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23270,47428,39113,17.4,14648,6.5,16672,7.4,27060,12.1,8674,5,17758,7.9,17165,9.9,24254,10.8,8920,5.2,7145,3.5,2561,1.3,16898,6.9,6.6,7.5,1.9,0.5,5.5,3.1,0.9,1.2,6.9,0.7,7.6,64.5,5c042a30-0cb0-4dce-9b42-d833bfcc7dfb,0.0514000400526129,1.32007632079034
