OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
510,60610,Burnie,610.9528,https://linked.data.gov.au/dataset/asgsed3/LGA2021/60610,802,41704
511,60810,Central Coast (Tas.),933.0891,https://linked.data.gov.au/dataset/asgsed3/LGA2021/60810,780,40560
512,61010,Central Highlands (Tas.),7982.4155,https://linked.data.gov.au/dataset/asgsed3/LGA2021/61010,683,35516
513,61210,Circular Head,4897.6511,https://linked.data.gov.au/dataset/asgsed3/LGA2021/61210,832,43264
514,61410,Clarence,377.9614,https://linked.data.gov.au/dataset/asgsed3/LGA2021/61410,1018,52936
515,61510,Derwent Valley,4108.1113,https://linked.data.gov.au/dataset/asgsed3/LGA2021/61510,768,39936
516,61610,Devonport,111.259,https://linked.data.gov.au/dataset/asgsed3/LGA2021/61610,771,40092
517,61810,Dorset,3230.5456,https://linked.data.gov.au/dataset/asgsed3/LGA2021/61810,691,35932
518,62010,Flinders (Tas.),1996.6244,https://linked.data.gov.au/dataset/asgsed3/LGA2021/62010,780,40560
519,62210,George Town,653.4308,https://linked.data.gov.au/dataset/asgsed3/LGA2021/62210,638,33176
520,62410,Glamorgan-Spring Bay,2591.591,https://linked.data.gov.au/dataset/asgsed3/LGA2021/62410,703,36556
521,62610,Glenorchy,121.1632,https://linked.data.gov.au/dataset/asgsed3/LGA2021/62610,853,44356
522,62810,Hobart,77.8965,https://linked.data.gov.au/dataset/asgsed3/LGA2021/62810,1194,62088
523,63010,Huon Valley,5507.3541,https://linked.data.gov.au/dataset/asgsed3/LGA2021/63010,775,40300
524,63210,Kentish,1156.1888,https://linked.data.gov.au/dataset/asgsed3/LGA2021/63210,760,39520
525,63410,King Island,1095.7407,https://linked.data.gov.au/dataset/asgsed3/LGA2021/63410,940,48880
526,63610,Kingborough,720.1093,https://linked.data.gov.au/dataset/asgsed3/LGA2021/63610,1029,53508
527,63810,Latrobe (Tas.),600.4619,https://linked.data.gov.au/dataset/asgsed3/LGA2021/63810,830,43160
528,64010,Launceston,1413.6306,https://linked.data.gov.au/dataset/asgsed3/LGA2021/64010,867,45084
529,64210,Meander Valley,3330.8146,https://linked.data.gov.au/dataset/asgsed3/LGA2021/64210,828,43056
530,64610,Northern Midlands,5135.2505,https://linked.data.gov.au/dataset/asgsed3/LGA2021/64610,829,43108
531,64810,Sorell,583.7723,https://linked.data.gov.au/dataset/asgsed3/LGA2021/64810,897,46644
532,65010,Southern Midlands,2615.4935,https://linked.data.gov.au/dataset/asgsed3/LGA2021/65010,822,42744
533,65210,Tasman,660.3947,https://linked.data.gov.au/dataset/asgsed3/LGA2021/65210,603,31356
534,65410,Waratah-Wynyard,3535.9075,https://linked.data.gov.au/dataset/asgsed3/LGA2021/65410,755,39260
535,65610,West Coast,9583.5388,https://linked.data.gov.au/dataset/asgsed3/LGA2021/65610,653,33956
536,65810,West Tamar,691.1537,https://linked.data.gov.au/dataset/asgsed3/LGA2021/65810,895,46540
539,70200,Alice Springs,327.7132,https://linked.data.gov.au/dataset/asgsed3/LGA2021/70200,1385,72020
540,70420,Barkly,322710.4145,https://linked.data.gov.au/dataset/asgsed3/LGA2021/70420,814,42328
541,70540,Belyuen,41.4054,https://linked.data.gov.au/dataset/asgsed3/LGA2021/70540,372,19344
542,70620,Central Desert,281338.022,https://linked.data.gov.au/dataset/asgsed3/LGA2021/70620,435,22620
543,70700,Coomalie ,2056.0547,https://linked.data.gov.au/dataset/asgsed3/LGA2021/70700,727,37804
544,71000,Darwin,111.2614,https://linked.data.gov.au/dataset/asgsed3/LGA2021/71000,1396,72592
545,71150,Darwin Waterfront Precinct,0.7447,https://linked.data.gov.au/dataset/asgsed3/LGA2021/71150,1993,103636
546,71300,East Arnhem,33309.9334,https://linked.data.gov.au/dataset/asgsed3/LGA2021/71300,465,24180
547,72200,Katherine,7416.6444,https://linked.data.gov.au/dataset/asgsed3/LGA2021/72200,1321,68692
548,72300,Litchfield,2903.3391,https://linked.data.gov.au/dataset/asgsed3/LGA2021/72300,1379,71708
549,72330,MacDonnell,268339.0281,https://linked.data.gov.au/dataset/asgsed3/LGA2021/72330,459,23868
550,72800,Palmerston,52.6559,https://linked.data.gov.au/dataset/asgsed3/LGA2021/72800,1329,69108
551,73600,Roper Gulf,185213.4546,https://linked.data.gov.au/dataset/asgsed3/LGA2021/73600,479,24908
552,74050,Tiwi Islands,7483.1661,https://linked.data.gov.au/dataset/asgsed3/LGA2021/74050,359,18668
553,74550,Victoria Daly,153287.3722,https://linked.data.gov.au/dataset/asgsed3/LGA2021/74550,561,29172
554,74560,Wagait,5.6628,https://linked.data.gov.au/dataset/asgsed3/LGA2021/74560,890,46280
555,74660,West Arnhem,49675.0342,https://linked.data.gov.au/dataset/asgsed3/LGA2021/74660,564,29328
556,74680,West Daly,14069.698,https://linked.data.gov.au/dataset/asgsed3/LGA2021/74680,312,16224
557,79399,Unincorporated NT,19792.8884,https://linked.data.gov.au/dataset/asgsed3/LGA2021/79399,1393,72436
560,89399,Unincorporated ACT,2358.133,https://linked.data.gov.au/dataset/asgsed3/LGA2021/89399,1553,80756
563,99399,Unincorp. Other Territories,105.8806,https://linked.data.gov.au/dataset/asgsed3/LGA2021/99399,852,44304
