OBJECTID,Local Government Areas 2021 code,Local Government Areas 2021 name,Area in square kilometres,Uniform Resource Identifier,Median equivalised total household income (weekly) ($) (Data year: 2021),Median household income (yearly)
133,20260,Ararat,4211.1172,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20260,832,43264
134,20570,Ballarat,739.0321,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20570,935,48620
135,20660,Banyule,62.5402,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20660,1239,64428
136,20740,Bass Coast,865.8094,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20740,776,40352
137,20830,Baw Baw,4027.6287,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20830,932,48464
138,20910,Bayside (Vic.),37.2111,https://linked.data.gov.au/dataset/asgsed3/LGA2021/20910,1597,83044
139,21010,Benalla,2352.6398,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21010,796,41392
140,21110,Boroondara,60.1776,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21110,1570,81640
141,21180,Brimbank,123.3991,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21180,861,44772
142,21270,Buloke,7998.247,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21270,735,38220
143,21370,Campaspe,4519.073,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21370,823,42796
144,21450,Cardinia,1282.5671,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21450,1060,55120
145,21610,Casey,409.4287,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21610,1030,53560
146,21670,Central Goldfields,1532.7843,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21670,615,31980
147,21750,Colac Otway,3437.47,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21750,855,44460
148,21830,Corangamite,4407.492,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21830,834,43368
149,21890,Darebin,53.4712,https://linked.data.gov.au/dataset/asgsed3/LGA2021/21890,1190,61880
150,22110,East Gippsland,20939.5016,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22110,742,38584
151,22170,Frankston,129.5981,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22170,1034,53768
152,22250,Gannawarra,3737.5979,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22250,723,37596
153,22310,Glen Eira,38.6908,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22310,1379,71708
154,22410,Glenelg,6218.7884,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22410,805,41860
155,22490,Golden Plains,2703.3899,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22490,1049,54548
156,22620,Greater Bendigo,2999.9717,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22620,931,48412
157,22670,Greater Dandenong,129.5466,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22670,834,43368
158,22750,Greater Geelong,1247.9872,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22750,1009,52468
159,22830,Greater Shepparton,2421.9092,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22830,885,46020
160,22910,Hepburn,1472.9843,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22910,847,44044
161,22980,Hindmarsh,7524.1823,https://linked.data.gov.au/dataset/asgsed3/LGA2021/22980,764,39728
162,23110,Hobsons Bay,64.2405,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23110,1220,63440
163,23190,Horsham,4266.769,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23190,910,47320
164,23270,Hume,503.8488,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23270,930,48360
165,23350,Indigo,2040.471,https://linked.data.gov.au/dataset/asgsed3/LGA2021/23350,970,50440
